ID,model.drug,drug.1,drug.2,drug.3,drug.4,drug.5,drug.6,drug.7,drug.8,drug.9,drug.10,drug.11,drug.12,drug.13,drug.14,drug.15,drug.16,drug.17,drug.18,drug.19,drug.20
ENSORLG00000001248,2.146011586,1.50220811,1.351987299,1.201766488,-1.50220811,-1.351987299,-1.201766488,0,0,1.50220811,1.351987299,19.6153155,-1.521506357,-0.721524759,-2.161783778,1.281207152,-1.040346141,3.895750038,-0.699434396,1.558965403,1.08238406
ENSORLG00000001307,6.740047011,6.740047011,6.06604231,5.392037609,-6.740047011,-6.06604231,-5.392037609,0,0,6.740047011,6.06604231,-1.318283901,1.303546262,-2.503122494,1.789683969,-1.331422566,-1.277369482,1.388757788,-0.699434396,1.124655097,-1.376205156
ENSORLG00000002102,-1.053794161,-1.053794161,-0.948414745,-0.843035329,1.053794161,0.948414745,0.843035329,1.053794161,0.948414745,0,0,0.766610063,-2.969292023,1.278096306,-2.632268215,1.303589696,2.607927837,-1.161551362,-1.085884242,0.711339664,1.409845142
ENSORLG00000002163,2.69734143,1.888139001,1.699325101,1.510511201,-1.888139001,-1.699325101,-1.510511201,0,0,1.888139001,1.699325101,1.303589696,-1.479559416,-2.632268215,-1.625890196,-1.847416909,2.607927837,1.822038597,1.310133038,-1.940684967,-1.156122088
ENSORLG00000002182,-1.226372272,-1.226372272,-1.103735045,-0.981097818,1.226372272,1.103735045,0.981097818,1.226372272,1.103735045,0,0,7.661778098,1.771235496,1.257177001,-1.625890196,-1.514094845,-3.694833383,0.763290707,1.888139001,-1.285994943,1.207620635
ENSORLG00000002303,1.797581852,1.797581852,1.617823667,1.438065482,-1.797581852,-1.617823667,-1.438065482,0,0,1.797581852,1.617823667,-1.085112058,1.277200887,-2.632268215,1.379935451,0.899084358,1.210335928,0.737440505,-3.694833383,2.914463815,1.310133038
ENSORLG00000002315,2.538961433,2.538961433,2.28506529,2.031169146,-2.538961433,-2.28506529,-2.031169146,0,0,2.538961433,2.28506529,1.08238406,-1.170443544,1.354343409,1.001007328,-2.103990731,1.155516586,-1.429686859,-1.479559416,-1.168507012,1.50220811
ENSORLG00000002401,1.521944189,1.521944189,1.36974977,1.217555351,-1.521944189,-1.36974977,-1.217555351,0,0,1.521944189,1.36974977,-1.699185907,0.708224834,-1.09124118,1.210335928,1.300259843,-1.765051595,1.207620635,-1.161551362,-0.721524759,-1.097226668
ENSORLG00000002431,1.379935451,1.379935451,1.241941906,1.103948361,-1.379935451,-1.241941906,-1.103948361,0,0,1.379935451,1.241941906,-0.721524759,1.90561803,1.277200887,1.105830821,1.192745907,0.777531227,-0.709799444,1.131555942,1.139401541,-1.479569174
ENSORLG00000002478,-1.648434395,-1.648434395,-1.483590956,-1.318747516,1.648434395,1.483590956,1.318747516,1.648434395,1.483590956,0,0,-1.434315856,0.862964358,1.140276278,1.303589696,-1.161551362,-1.220478186,-0.919610572,-6.022027801,1.237190883,3.734903128
ENSORLG00000002484,-1.672062205,-1.170443544,-1.053399189,-0.936354835,1.170443544,1.053399189,0.936354835,1.170443544,1.05339919,0,0,-2.969292023,-1.518764297,1.344549892,1.001007328,-0.713637423,-1.492370043,1.131555942,-1.743991954,2.172047145,-3.555518723
ENSORLG00000002540,1.155516586,1.155516586,1.039964927,0.924413269,-1.155516586,-1.039964927,-0.924413269,0,0,1.155516586,1.039964927,-1.995716178,0.979427179,1.709470703,-1.074719715,4.758567849,1.197264638,-1.331422566,1.665732383,2.889998816,1.207620635
ENSORLG00000002555,1.90561803,1.90561803,1.715056227,1.524494424,-1.90561803,-1.715056227,-1.524494424,0,0,1.90561803,1.715056227,-1.786564216,-1.191207844,2.319093777,1.90561803,-1.429686859,-1.765051595,-0.954442565,-1.040346141,-1.245769546,-0.919610572
ENSORLG00000002629,1.771235496,1.771235496,1.594111946,1.416988397,-1.771235496,-1.594111946,-1.416988397,0,0,1.771235496,1.594111946,-1.407215037,-1.010001018,-3.555518723,-1.487252346,1.197264638,0.862964358,1.124655097,-1.330820768,-1.65721593,-1.215887995
ENSORLG00000002649,1.140276278,1.140276278,1.02624865,0.912221022,-1.140276278,-1.02624865,-0.912221022,0,0,1.140276278,1.02624865,5.513116804,-1.369501064,1.379935451,-4.543443231,1.83617044,-1.550416294,2.341537365,-1.300915612,1.332499166,-2.103990731
ENSORLG00000002652,-3.555518723,-3.555518723,-3.199966851,-2.844414978,3.555518723,3.199966851,2.844414978,3.555518723,3.199966851,0,0,0.711339664,-1.072542902,1.277200887,2.607927837,1.15187696,-1.188508895,-1.622740139,-0.750237082,-1.487252346,-1.487252346
ENSORLG00000002760,-1.434315856,-1.434315856,-1.29088427,-1.147452685,1.434315856,1.29088427,1.147452685,1.434315856,1.29088427,0,0,-1.429686859,-1.786564216,4.758567849,1.139401541,1.140276278,1.492850687,0.752023315,-0.83419849,1.658928432,1.558965403
ENSORLG00000003027,-1.085884242,-1.085884242,-0.977295818,-0.868707394,1.085884242,0.977295818,0.868707394,1.085884242,0.977295818,0,0,4.758567849,1.888139001,-0.713637423,0.766610063,1.521944189,-1.220478186,-1.047050296,-1.842392465,0.988908385,-1.167560911
ENSORLG00000003041,1.08238406,1.08238406,0.974145654,0.865907248,-1.08238406,-0.974145654,-0.865907248,0,0,1.08238406,0.974145654,-1.622740139,-1.154815215,1.658928432,1.278096306,-1.867961118,-1.521506357,0.771130437,-1.053794161,1.330707173,1.15187696
ENSORLG00000003101,1.300259843,1.300259843,1.170233859,1.040207874,-1.300259843,-1.170233859,-1.040207874,0,0,1.300259843,1.170233859,1.207620635,-6.022027801,1.310133038,-1.869022662,1.210335928,3.695268763,-1.085884242,-1.09124118,-1.168507012,1.310133038
ENSORLG00000003103,1.303546262,1.303546262,1.173191636,1.04283701,-1.303546262,-1.173191636,-1.04283701,0,0,1.303546262,1.173191636,1.300259843,1.658928432,-1.156122088,1.334991277,-1.00543918,4.758567849,-1.622740139,0.988908385,-0.709799444,-1.245769546
ENSORLG00000003119,-1.030749655,-0.721524759,-0.649372283,-0.577219807,0.721524759,0.649372283,0.577219807,0.721524759,0.649372283,0,0,-2.632268215,-1.898938425,1.131555942,3.895750038,-1.518764297,-1.245769546,-1.679050651,4.745564723,1.044457754,0.8412495
ENSORLG00000003123,-1.625890196,-1.625890196,-1.463301176,-1.300712157,1.625890196,1.463301176,1.300712157,1.625890196,1.463301176,0,0,0.988908385,1.797581852,-1.285994943,1.15187696,1.155516586,-1.172729173,-1.622740139,-0.932719672,-1.869022662,-1.300915612
ENSORLG00000003410,-1.518764297,-1.518764297,-1.366887867,-1.215011438,1.518764297,1.366887867,1.215011438,1.518764297,1.366887867,0,0,-1.188508895,-1.295766445,0.862964358,0.708533379,-1.479569174,7.661778098,-1.00543918,0.737440505,-1.156122088,-1.479559416
ENSORLG00000003451,-1.12715594,-1.12715594,-1.014440346,-0.901724752,1.12715594,1.014440346,0.901724752,1.12715594,1.014440346,0,0,1.310133038,0.988908385,1.003657714,-0.721524759,-1.369501064,-1.226372272,-1.328010916,-1.842392465,3.695268763,-0.713637423
ENSORLG00000003571,-1.399197291,-0.979438104,-0.881494293,-0.783550483,0.979438104,0.881494293,0.783550483,0.979438104,0.881494294,0,0,1.90561803,-1.261108928,0.766610063,-1.160194013,0.8412495,1.211309939,1.139401541,-1.28060392,-1.047050296,-1.285994943
ENSORLG00000003976,1.001007328,1.001007328,0.900906595,0.800805862,-1.001007328,-0.900906595,-0.800805862,0,0,1.001007328,0.900906595,0.763290707,-1.285994943,-1.492370043,-1.047050296,19.6153155,1.789683969,-1.215887995,1.393575161,-1.908186587,-0.83419849
ENSORLG00000004118,1.934776298,1.354343409,1.218909068,1.083474727,-1.354343409,-1.218909068,-1.083474727,0,0,1.354343409,1.218909068,2.607927837,1.521944189,4.758567849,-1.167560911,0.777531227,19.6153155,-1.407215037,-1.300915612,1.139401541,1.003657714
ENSORLG00000004187,-2.521502279,-1.765051595,-1.588546436,-1.412041276,1.765051595,1.588546436,1.412041276,1.765051595,1.588546436,0,0,0.711339664,-1.300915612,-1.369501064,19.6153155,-0.699434396,1.08238406,1.300259843,3.518267656,-3.02914148,0.737440505
ENSORLG00000004282,1.106777717,1.106777717,0.996099945,0.885422174,-1.106777717,-0.996099945,-0.885422174,0,0,1.106777717,0.996099945,-1.743991954,1.155516586,-1.167560911,1.303546262,1.241830048,-1.331422566,-1.191207844,-2.71313958,0.708533379,2.231176561
ENSORLG00000004326,-1.550416294,-1.550416294,-1.395374665,-1.240333035,1.550416294,1.395374665,1.240333035,1.550416294,1.395374665,0,0,5.928585667,-1.696065342,-1.191207844,1.409845142,-0.919610572,1.50220811,-0.919610572,-1.09124118,0.737440505,1.50220811
ENSORLG00000004344,-1.369501064,-1.369501064,-1.232550958,-1.095600851,1.369501064,1.232550958,1.095600851,1.369501064,1.232550958,0,0,-1.434315856,-1.518764297,1.334991277,-1.085884242,1.041300426,2.753458983,1.492850687,-2.969292023,-1.328010916,1.044457754
ENSORLG00000004413,1.519219538,1.519219538,1.367297584,1.21537563,-1.519219538,-1.367297584,-1.21537563,0,0,1.519219538,1.367297584,-3.02914148,-0.932719672,2.458241809,-1.219047331,1.210335928,-1.318283901,1.106777717,1.821029859,-0.976606557,-1.477197185
ENSORLG00000004452,-1.940684967,-1.940684967,-1.74661647,-1.552547974,1.940684967,1.74661647,1.552547974,1.940684967,1.74661647,0,0,4.972478204,-0.976606557,2.914463815,-1.300915612,1.83617044,-1.09124118,1.888139001,-0.727697352,-1.00543918,0.979427179
ENSORLG00000004539,-1.786564216,-1.786564216,-1.607907794,-1.429251373,1.786564216,1.607907794,1.429251373,1.786564216,1.607907794,0,0,-1.220478186,1.709470703,1.044457754,-1.154815215,1.755624109,-1.492370043,-1.331422566,-1.168507012,1.90561803,1.105830821
ENSORLG00000004723,-1.295766445,-1.295766445,-1.166189801,-1.036613156,1.295766445,1.166189801,1.036613156,1.295766445,1.166189801,0,0,0.988908385,5.513116804,-1.167560911,-1.995716178,-1.743991954,1.149762642,-1.898938425,-1.898938425,1.821029859,1.83617044
ENSORLG00000004774,-1.050429282,-1.050429282,-0.945386354,-0.840343426,1.050429282,0.945386354,0.840343426,1.050429282,0.945386354,0,0,-4.543443231,1.821029859,-1.357057899,1.705635001,1.131555942,-1.479559416,1.789683969,-1.898938425,1.140276278,1.139401541
ENSORLG00000005073,1.903570237,1.332499166,1.199249249,1.065999333,-1.332499166,-1.199249249,-1.065999333,0,0,1.332499166,1.199249249,-1.99765833,1.303546262,0.988908385,-1.050429282,1.278096306,-1.743991954,-1.053794161,-3.694833383,-3.02914148,-2.756724161
ENSORLG00000005199,1.090415295,0.763290707,0.686961636,0.610632565,-0.763290707,-0.686961636,-0.610632565,0,0,0.763290707,0.686961636,-1.053794161,-1.898938425,-1.625890196,-2.756724161,-1.331422566,0.979427179,-1.158105883,-2.161783778,-2.969292023,-1.696065342
ENSORLG00000005218,4.745564723,4.745564723,4.271008251,3.796451778,-4.745564723,-4.271008251,-3.796451778,0,0,4.745564723,4.271008251,-0.727697352,-1.458453984,0.731815853,-1.156122088,-1.487252346,1.210335928,-1.492370043,1.518612876,2.319093777,-1.648434395
ENSORLG00000005316,-1.608115806,-1.608115806,-1.447304225,-1.286492645,1.608115806,1.447304225,1.286492645,1.608115806,1.447304225,0,0,1.124655097,-1.318283901,-1.492370043,-1.679050651,-1.28060392,-1.550416294,2.249589022,-1.161551362,5.513116804,1.332499166
ENSORLG00000005473,-1.535313878,-1.074719715,-0.967247743,-0.859775772,1.074719715,0.967247743,0.859775772,1.074719715,0.967247744,0,0,1.281207152,1.755624109,-1.696065342,1.354343409,1.409845142,1.334991277,-1.521506357,5.513116804,1.003657714,2.319093777
ENSORLG00000005485,1.197264638,1.197264638,1.077538174,0.95781171,-1.197264638,-1.077538174,-0.95781171,0,0,1.197264638,1.077538174,1.139401541,1.127299865,1.197264638,1.277200887,1.140276278,-1.940684967,-1.743991954,-1.12715594,1.207620635,0.899084358
ENSORLG00000005506,-1.492370043,-1.492370043,-1.343133039,-1.193896034,1.492370043,1.343133039,1.193896034,1.492370043,1.343133039,0,0,3.895750038,0.862964358,0.777531227,1.08238406,-1.898938425,2.889998816,1.519219538,1.709470703,-1.376205156,-1.376205156
ENSORLG00000005563,1.211309939,1.211309939,1.090178945,0.969047951,-1.211309939,-1.090178945,-0.969047951,0,0,1.211309939,1.090178945,-1.168507012,1.330707173,-1.765051595,-1.328010916,-1.331422566,-1.434315856,0.849707844,-1.318283901,-1.743991954,-0.727697352
ENSORLG00000005588,-1.049476395,-1.049476395,-0.944528756,-0.839581116,1.049476395,0.944528756,0.839581116,1.049476395,0.944528756,0,0,-1.188508895,1.311698393,-4.543443231,1.041300426,-1.219047331,1.277200887,-1.170443544,1.140276278,-0.932719672,1.277200887
ENSORLG00000005947,-4.543443231,-4.543443231,-4.089098908,-3.634754585,4.543443231,4.089098908,3.634754585,4.543443231,4.089098908,0,0,-1.28060392,-1.169057507,7.661778098,-2.632268215,-1.328010916,-1.407215037,-1.995716178,-1.407215037,-0.976606557,-1.622740139
ENSORLG00000006038,-1.598630035,-1.598630035,-1.438767032,-1.278904028,1.598630035,1.438767032,1.278904028,1.598630035,1.438767032,0,0,1.492850687,-1.598630035,0.771130437,-3.555518723,1.210335928,-1.952889373,1.521944189,-1.188508895,-1.867961118,1.518612876
ENSORLG00000006046,-1.019482033,-0.713637423,-0.642273681,-0.570909938,0.713637423,0.642273681,0.570909938,0.713637423,0.642273681,0,0,-3.555518723,-0.976606557,-2.632268215,-1.085884242,1.518612876,-1.369501064,2.538961433,-6.022027801,-1.867961118,1.302527096
ENSORLG00000006142,1.01619952,0.711339664,0.640205698,0.569071731,-0.711339664,-0.640205698,-0.569071731,0,0,0.711339664,0.640205698,1.003657714,1.705635001,-1.161551362,4.972478204,0.737440505,-1.92952505,-1.331422566,-2.632268215,1.705635001,-1.040379056
ENSORLG00000006224,-1.743991954,-1.743991954,-1.569592759,-1.395193563,1.743991954,1.569592759,1.395193563,1.743991954,1.569592759,0,0,-1.479569174,1.50220811,-1.169057507,0.979427179,-1.00543918,-0.979438104,1.155516586,-1.160194013,-3.02914148,-0.954442565
ENSORLG00000006368,-1.28060392,-1.28060392,-1.152543528,-1.024483136,1.28060392,1.152543528,1.024483136,1.28060392,1.152543528,0,0,-1.869022662,-1.277369482,1.311698393,-1.479569174,1.521944189,-1.004923697,1.492850687,1.237190883,4.972478204,-1.172729173
ENSORLG00000006451,-1.191712128,-0.83419849,-0.750778641,-0.667358792,0.83419849,0.750778641,0.667358792,0.83419849,0.750778641,0,0,1.83617044,-1.434315856,-1.160194013,1.393575161,-1.040346141,2.889998816,7.661778098,3.895750038,0.849707844,4.745564723
ENSORLG00000006798,-1.867961118,-1.867961118,-1.681165006,-1.494368894,1.867961118,1.681165006,1.494368894,1.867961118,1.681165006,0,0,1.330707173,1.558965403,-1.648434395,-1.429686859,0.766610063,-2.161783778,1.300259843,0.979427179,-1.786564216,-1.167560911
ENSORLG00000006812,-1.172729173,-1.172729173,-1.055456256,-0.938183338,1.172729173,1.055456256,0.938183338,1.172729173,1.055456256,0,0,3.895750038,-1.12715594,1.344549892,1.83617044,-1.99765833,-1.622740139,-1.898938425,1.519219538,1.379935451,-1.300915612
ENSORLG00000006976,1.045451218,0.731815853,0.658634267,0.585452682,-0.731815853,-0.658634267,-0.585452682,0,0,0.731815853,0.658634268,-0.709799444,-1.867961118,2.319093777,-1.696065342,1.241830048,-1.09124118,0.711339664,-0.709799444,-1.170443544,0.979427179
ENSORLG00000007024,1.665732383,1.665732383,1.499159145,1.332585906,-1.665732383,-1.499159145,-1.332585906,0,0,1.665732383,1.499159145,-0.954442565,-1.853388779,-1.050429282,-1.407215037,2.319093777,-1.219047331,-1.679050651,-1.376205156,0.849707844,2.319093777
ENSORLG00000007074,-1.952889373,-1.952889373,-1.757600436,-1.562311498,1.952889373,1.757600436,1.562311498,1.952889373,1.757600436,0,0,2.914463815,2.458241809,1.310133038,0.752023315,1.558965403,-0.932719672,2.914463815,1.192745907,-1.369501064,-1.434315856
ENSORLG00000007163,-1.318283901,-1.318283901,-1.186455511,-1.054627121,1.318283901,1.186455511,1.054627121,1.318283901,1.186455511,0,0,-1.191207844,-1.65721593,-1.699185907,1.797581852,1.207620635,-1.429686859,1.003657714,-1.191207844,-1.458453984,-1.285994943
ENSORLG00000007232,-2.367451329,-1.65721593,-1.491494337,-1.325772744,1.65721593,1.491494337,1.325772744,1.65721593,1.491494337,0,0,-1.487252346,-1.765051595,2.889998816,0.979427179,1.789683969,1.197264638,-1.09124118,-0.976606557,-0.979438104,-0.750237082
ENSORLG00000007497,-1.696065342,-1.696065342,-1.526458808,-1.356852274,1.696065342,1.526458808,1.356852274,1.696065342,1.526458808,0,0,-1.00543918,-1.458453984,-1.369501064,1.393575161,1.001007328,2.753458983,-2.969292023,1.281207152,-1.479569174,-1.00543918
ENSORLG00000007559,-1.220478186,-1.220478186,-1.098430367,-0.976382549,1.220478186,1.098430367,0.976382549,1.220478186,1.098430367,0,0,-1.199212087,1.821029859,-1.261108928,0.979427179,-1.514094845,-1.215887995,-1.765051595,1.344549892,1.50220811,0.862964358
ENSORLG00000007765,-1.047050296,-1.047050296,-0.942345266,-0.837640237,1.047050296,0.942345266,0.837640237,1.047050296,0.942345266,0,0,-1.188508895,-1.369501064,-1.407215037,-0.721524759,-1.65721593,1.311698393,1.821029859,0.849707844,0.737440505,3.734903128
ENSORLG00000007808,-1.169057507,-1.169057507,-1.052151756,-0.935246006,1.169057507,1.052151756,0.935246006,1.169057507,1.052151756,0,0,-0.954442565,-1.765051595,3.518267656,-1.277369482,-1.458453984,4.758567849,-0.698024534,10.6097328,-0.750237082,2.231176561
ENSORLG00000007849,1.393575161,1.393575161,1.254217645,1.114860129,-1.393575161,-1.254217645,-1.114860129,0,0,1.393575161,1.254217645,2.753458983,3.734903128,1.302527096,-1.898938425,-1.376205156,-1.085884242,1.140276278,1.257177001,1.041300426,-1.842392465
ENSORLG00000007864,-2.161783778,-2.161783778,-1.9456054,-1.729427022,2.161783778,1.9456054,1.729427022,2.161783778,1.9456054,0,0,-2.969292023,1.003657714,0.899084358,1.281207152,5.513116804,-1.047050296,0.708224834,-1.00543918,-1.220478186,1.311698393
ENSORLG00000007901,1.213868349,0.849707844,0.76473706,0.679766275,-0.849707844,-0.76473706,-0.679766275,0,0,0.849707844,0.76473706,-1.170443544,-0.954442565,-1.053794161,4.745564723,-1.161551362,-1.429686859,-1.743991954,-1.765051595,-1.699185907,1.155516586
ENSORLG00000007929,-2.670032374,-1.869022662,-1.682120396,-1.495218129,1.869022662,1.682120396,1.495218129,1.869022662,1.682120396,0,0,-2.756724161,-1.765051595,-1.458453984,-1.477197185,1.50220811,-1.220478186,1.822038597,-3.694833383,1.83617044,10.6097328
ENSORLG00000007987,1.127299865,1.127299865,1.014569879,0.901839892,-1.127299865,-1.014569879,-0.901839892,0,0,1.127299865,1.014569879,-6.022027801,-1.908186587,0.988908385,-1.847416909,1.192745907,1.334991277,-1.376205156,1.334991277,-1.053794161,-1.847416909
ENSORLG00000008028,1.044457754,1.044457754,0.940011979,0.835566203,-1.044457754,-0.940011979,-0.835566203,0,0,1.044457754,0.940011979,-1.55492399,1.124655097,1.521944189,5.513116804,1.789683969,-1.908186587,1.302527096,1.821029859,-1.169057507,-2.969292023
ENSORLG00000008054,-1.219047331,-1.219047331,-1.097142598,-0.975237865,1.219047331,1.097142598,0.975237865,1.219047331,1.097142598,0,0,-2.632268215,2.249589022,2.260833498,-1.154815215,-1.518764297,1.124655097,0.988908385,-1.285994943,1.127299865,1.001007328
ENSORLG00000008060,-0.976606557,-0.976606557,-0.878945901,-0.781285246,0.976606557,0.878945901,0.781285246,0.976606557,0.878945901,0,0,1.50220811,-1.867961118,-1.679050651,-1.156122088,-1.699185907,-2.756724161,-1.28060392,1.155516586,2.319093777,-1.331422566
ENSORLG00000008103,-1.00543918,-1.00543918,-0.904895262,-0.804351344,1.00543918,0.904895262,0.804351344,1.00543918,0.904895262,0,0,1.705635001,-0.698024534,-1.28060392,-1.010001018,-1.407215037,-1.156122088,-0.83419849,-0.713637423,-1.648434395,1.044457754
ENSORLG00000008113,1.303589696,1.303589696,1.173230726,1.042871757,-1.303589696,-1.173230726,-1.042871757,0,0,1.303589696,1.173230726,-0.721524759,0.752023315,1.797581852,0.737440505,-1.786564216,-1.479569174,10.6097328,1.192745907,2.172047145,-1.300915612
ENSORLG00000008184,1.237190883,1.237190883,1.113471795,0.989752706,-1.237190883,-1.113471795,-0.989752706,0,0,1.237190883,1.113471795,1.140276278,-1.161551362,-1.09124118,-1.477197185,1.237190883,1.822038597,0.708533379,-1.168507012,0.771130437,-1.124242624
ENSORLG00000008285,-1.261108928,-1.261108928,-1.134998035,-1.008887142,1.261108928,1.134998035,1.008887142,1.261108928,1.134998035,0,0,0.737440505,1.127299865,-1.940684967,1.797581852,0.862964358,1.080055662,1.379935451,1.334991277,-1.154815215,-1.053794161
ENSORLG00000008290,-2.631989236,-1.842392465,-1.658153219,-1.473913972,1.842392465,1.658153219,1.473913972,1.842392465,1.658153219,0,0,2.172047145,-1.167560911,-1.085884242,-1.357057899,-1.853388779,1.311698393,-1.156122088,1.192745907,-1.300915612,1.15187696
ENSORLG00000008419,-0.997177905,-0.698024534,-0.62822208,-0.558419627,0.698024534,0.62822208,0.558419627,0.698024534,0.628222081,0,0,-1.226372272,1.281207152,-0.750237082,2.341537365,-0.750237082,-2.161783778,0.708224834,1.332499166,-1.743991954,-4.543443231
ENSORLG00000008473,-2.632268215,-2.632268215,-2.369041394,-2.105814572,2.632268215,2.369041394,2.105814572,2.632268215,2.369041394,0,0,1.558965403,-1.608115806,1.15187696,0.708533379,-1.550416294,1.041300426,-1.369501064,-1.300915612,4.745564723,-0.721524759
ENSORLG00000008608,1.012190541,0.708533379,0.637680041,0.566826703,-0.708533379,-0.637680041,-0.566826703,0,0,0.708533379,0.637680041,-2.969292023,4.972478204,3.734903128,-1.908186587,5.928585667,1.755624109,-1.940684967,1.278096306,-1.598630035,1.197264638
ENSORLG00000008701,0.979427179,0.979427179,0.881484461,0.783541743,-0.979427179,-0.881484461,-0.783541743,0,0,0.979427179,0.881484461,19.6153155,1.388757788,-0.750237082,0.899084358,-1.940684967,-0.709799444,-0.750237082,-3.694833383,1.518612876,-1.477197185
ENSORLG00000008715,1.310133038,1.310133038,1.179119734,1.04810643,-1.310133038,-1.179119734,-1.04810643,0,0,1.310133038,1.179119734,1.332499166,-1.285994943,1.281207152,-1.154815215,1.300259843,-1.215887995,0.849707844,3.734903128,-1.285994943,-1.842392465
ENSORLG00000009164,1.627716487,1.139401541,1.025461387,0.911521233,-1.139401541,-1.025461387,-0.911521233,0,0,1.139401541,1.025461387,-1.487252346,-1.648434395,-1.330820768,1.344549892,-1.479569174,-0.750237082,-1.514094845,1.332499166,1.105830821,-1.577555909
ENSORLG00000009169,1.232806226,0.862964358,0.776667922,0.690371487,-0.862964358,-0.776667922,-0.690371487,0,0,0.862964358,0.776667922,-3.694833383,-3.555518723,-1.277369482,-1.245769546,1.330707173,-1.047050296,1.344549892,-1.786564216,10.6097328,-1.004923697
ENSORLG00000009262,-3.02914148,-3.02914148,-2.726227332,-2.423313184,3.02914148,2.726227332,2.423313184,3.02914148,2.726227332,0,0,1.278096306,-1.492370043,-1.010001018,0.708224834,4.972478204,-0.83419849,3.606117351,1.001007328,-1.010001018,-1.995716178
ENSORLG00000009400,-1.458453984,-1.458453984,-1.312608586,-1.166763187,1.458453984,1.312608586,1.166763187,1.458453984,1.312608586,0,0,-1.261108928,1.041300426,-1.376205156,0.737440505,1.302527096,1.821029859,1.210335928,-1.28060392,0.763290707,-1.047050296
ENSORLG00000009502,1.277200887,1.277200887,1.149480798,1.02176071,-1.277200887,-1.149480798,-1.02176071,0,0,1.277200887,1.149480798,-1.085112058,1.106777717,1.755624109,1.278096306,-1.191207844,0.766610063,1.041300426,-1.699185907,1.50220811,-1.940684967
ENSORLG00000009880,3.734903128,3.734903128,3.361412815,2.987922502,-3.734903128,-3.361412815,-2.987922502,0,0,3.734903128,3.361412815,-1.053794161,-1.219047331,1.797581852,-1.328010916,-6.022027801,-1.479569174,-1.328010916,1.302527096,0.763290707,-1.169057507
ENSORLG00000009925,-1.92952505,-1.92952505,-1.736572545,-1.54362004,1.92952505,1.736572545,1.54362004,1.92952505,1.736572545,0,0,-1.479569174,-0.954442565,1.207620635,1.519219538,19.6153155,0.862964358,2.172047145,-1.521506357,1.492850687,-1.154815215
ENSORLG00000010038,-1.701725491,-1.191207844,-1.072087059,-0.952966275,1.191207844,1.072087059,0.952966275,1.191207844,1.07208706,0,0,1.709470703,-0.709799444,1.50220811,-1.172729173,-1.219047331,3.734903128,1.237190883,1.492850687,0.731815853,0.737440505
